# ells, ksz, tsz, cib, radio
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 7.572811885480931759e-02 3.030378581421603323e-01 6.127002966218376017e-06 5.865632180107457626e-06
3.000000000000000000e+00 3.810306024082418808e-02 1.515189290710801662e-01 3.081056717521923105e-06 2.972326261173171416e-06
4.000000000000000000e+00 2.300523717291920803e-02 9.091135744264809693e-02 1.862676007081923619e-06 1.814920802770687803e-06
5.000000000000000000e+00 1.543242483712746124e-02 6.060757162843206924e-02 1.253521469908628124e-06 1.236216113377737542e-06
6.000000000000000000e+00 1.109144635164912435e-02 4.329112259173718835e-02 9.054106185894325702e-07 9.055196897731829056e-07
7.000000000000000000e+00 8.369799079012550658e-03 3.246834194380288779e-02 6.878279046542971704e-07 6.987603526716571558e-07
8.000000000000000000e+00 6.549677459705433719e-03 2.525315484518003001e-02 5.427776951938479338e-07 5.608971337386141884e-07
9.000000000000000000e+00 5.271608652824787827e-03 2.020252387614402192e-02 4.412278921139723767e-07 4.643296896147805493e-07
1.000000000000000000e+01 4.339207094633367422e-03 1.652933771684511263e-02 3.673667403271536312e-07 3.940405252005797828e-07
1.100000000000000000e+01 3.637733197462955474e-03 1.377444809737092546e-02 3.119695034072897086e-07 3.412951334530939038e-07
1.200000000000000000e+01 3.096466735507682946e-03 1.165530223623693733e-02 2.693560582302182796e-07 3.006805248302735117e-07
1.300000000000000000e+01 2.669872595574935507e-03 9.990259059631660318e-03 2.358678280442902043e-07 2.687234643843968452e-07
1.400000000000000000e+01 2.327546733571798573e-03 8.658224518347438711e-03 2.090695144945560046e-07 2.431122306307672252e-07
1.500000000000000000e+01 2.048553398772988855e-03 7.575946453554008655e-03 1.872974022555052009e-07 2.222487087208903854e-07
1.600000000000000000e+01 1.818091339630903674e-03 6.684658635488831269e-03 1.693557096369751567e-07 2.050287022470332747e-07
1.700000000000000000e+01 1.625453745212566796e-03 5.941918787101183735e-03 1.544048739068198160e-07 1.906284197742686772e-07
1.800000000000000000e+01 1.462739320732411993e-03 5.316453651616847784e-03 1.418121207197720287e-07 1.784694157260243164e-07
1.900000000000000000e+01 1.324012619233228124e-03 4.784808286455163179e-03 1.311061909834475345e-07 1.680862775388613567e-07
2.000000000000000000e+01 1.204745140657047329e-03 4.329112259173719356e-03 1.219245117953417305e-07 1.591482636512605957e-07
