# ells, tt, te, ee, bb
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 3.787780110939318323e-01 0.000000000000000000e+00 8.292363183477737984e-08 2.073091385984167672e-06
3.000000000000000000e+00 1.896280841566995445e-01 0.000000000000000000e+00 8.292363295082747498e-08 2.073092151529088659e-06
4.000000000000000000e+00 1.139203136741944039e-01 0.000000000000000000e+00 8.292363451329764259e-08 2.073093223292453142e-06
5.000000000000000000e+00 7.604252766496108484e-02 0.000000000000000000e+00 8.292363652218790913e-08 2.073094601274736305e-06
6.000000000000000000e+00 5.438442133551416036e-02 0.000000000000000000e+00 8.292363897749827462e-08 2.073096285476548437e-06
7.000000000000000000e+00 4.083956907289370414e-02 0.000000000000000000e+00 8.292364187922880521e-08 2.073098275898635350e-06
8.000000000000000000e+00 3.180397744153701245e-02 0.000000000000000000e+00 8.292364522737955386e-08 2.073100572541880075e-06
9.000000000000000000e+00 2.547507954837505140e-02 0.000000000000000000e+00 8.292364902195053379e-08 2.073103175407299053e-06
1.000000000000000000e+01 2.086934768057064141e-02 0.000000000000000000e+00 8.292365326294185089e-08 2.073106084496048059e-06
1.100000000000000000e+01 1.741287602129971621e-02 0.000000000000000000e+00 8.292365795035357132e-08 2.073109299809413314e-06
1.200000000000000000e+01 1.475238047015922302e-02 0.000000000000000000e+00 8.292366308418576127e-08 2.073112821348821220e-06
1.300000000000000000e+01 1.266067770833335764e-02 0.000000000000000000e+00 8.292366866443848691e-08 2.073116649115832435e-06
1.400000000000000000e+01 1.098626489550170830e-02 0.000000000000000000e+00 8.292367469111186735e-08 2.073120783112141874e-06
1.500000000000000000e+01 9.624950860278556897e-03 0.000000000000000000e+00 8.292368116420598201e-08 2.073125223339582938e-06
1.600000000000000000e+01 8.503165821375660224e-03 0.000000000000000000e+00 8.292368808372093675e-08 2.073129969800122862e-06
1.700000000000000000e+01 7.567759027455156495e-03 0.000000000000000000e+00 8.292369544965685070e-08 2.073135022495864405e-06
1.800000000000000000e+01 6.779554715737336722e-03 0.000000000000000000e+00 8.292370326201381650e-08 2.073140381429047545e-06
1.900000000000000000e+01 6.109161560012674359e-03 0.000000000000000000e+00 8.292371152079199297e-08 2.073146046602046517e-06
2.000000000000000000e+01 5.534179934466326549e-03 0.000000000000000000e+00 8.292372022599149921e-08 2.073152018017371078e-06
