# ells, tt, te, ee, bb
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 3.787780110939318878e-01 0.000000000000000000e+00 8.292363183477737984e-08 2.443709356213172838e-06
3.000000000000000000e+00 1.958553083210234080e-01 0.000000000000000000e+00 8.292363295082747498e-08 2.443710258618777625e-06
4.000000000000000000e+00 1.213483997512455198e-01 0.000000000000000000e+00 8.292363451329764259e-08 2.443711521987184893e-06
5.000000000000000000e+00 8.342617109190504643e-02 0.000000000000000000e+00 8.292363652218790913e-08 2.443713146318953684e-06
6.000000000000000000e+00 6.137426889820644937e-02 0.000000000000000000e+00 8.292363897749827462e-08 2.443715131614803976e-06
7.000000000000000000e+00 4.735311890362746412e-02 0.000000000000000000e+00 8.292364187922880521e-08 2.443717477875614990e-06
8.000000000000000000e+00 3.784660288983642679e-02 0.000000000000000000e+00 8.292364522737955386e-08 2.443720185102426881e-06
9.000000000000000000e+00 3.108073025328436656e-02 0.000000000000000000e+00 8.292364902195053379e-08 2.443723253296440318e-06
1.000000000000000000e+01 2.607917984964471317e-02 0.000000000000000000e+00 8.292365326294185089e-08 2.443726682459013944e-06
1.100000000000000000e+01 2.226736189954444528e-02 0.000000000000000000e+00 8.292365795035357132e-08 2.443730472591666911e-06
1.200000000000000000e+01 1.928856323915454155e-02 0.000000000000000000e+00 8.292366308418576127e-08 2.443734623696079308e-06
1.300000000000000000e+01 1.691146290022699575e-02 0.000000000000000000e+00 8.292366866443848691e-08 2.443739135774090046e-06
1.400000000000000000e+01 1.498050999531022089e-02 0.000000000000000000e+00 8.292367469111186735e-08 2.443744008827699391e-06
1.500000000000000000e+01 1.338784416460533574e-02 0.000000000000000000e+00 8.292368116420598201e-08 2.443749242859066855e-06
1.600000000000000000e+01 1.205667988965949781e-02 0.000000000000000000e+00 8.292368808372093675e-08 2.443754837870511190e-06
1.700000000000000000e+01 1.093109238933700003e-02 0.000000000000000000e+00 8.292369544965685070e-08 2.443760793864512509e-06
1.800000000000000000e+01 9.969528665585288343e-03 0.000000000000000000e+00 8.292370326201381650e-08 2.443767110843708895e-06
1.900000000000000000e+01 9.140565021426818454e-03 0.000000000000000000e+00 8.292371152079199297e-08 2.443773788810901064e-06
2.000000000000000000e+01 8.420062298449661545e-03 0.000000000000000000e+00 8.292372022599149921e-08 2.443780827769047277e-06
