# ells, tt, te, ee, bb
0.000000000000000000e+00 7.896316159566584003e-02 0.000000000000000000e+00 4.696559628569903371e-08 1.121597256277234079e-06
1.000000000000000000e+00 5.410166692209144035e-01 0.000000000000000000e+00 4.696559637672253756e-08 1.121597316490045395e-06
2.000000000000000000e+00 1.805859751211500441e-01 0.000000000000000000e+00 4.696559664979310868e-08 1.121597497128494591e-06
3.000000000000000000e+00 9.041653298208046641e-02 0.000000000000000000e+00 4.696559710491072721e-08 1.121597798192630794e-06
4.000000000000000000e+00 5.432404880997421248e-02 0.000000000000000000e+00 4.696559774207537991e-08 1.121598219682534473e-06
5.000000000000000000e+00 3.626545317031167059e-02 0.000000000000000000e+00 4.696559856128711973e-08 1.121598761598318706e-06
6.000000000000000000e+00 2.593919641053082231e-02 0.000000000000000000e+00 4.696559956254590696e-08 1.121599423940129395e-06
7.000000000000000000e+00 1.948087390037217884e-02 0.000000000000000000e+00 4.696560074585178131e-08 1.121600206708143993e-06
8.000000000000000000e+00 1.517238424554904694e-02 0.000000000000000000e+00 4.696560211120471630e-08 1.121601109902573411e-06
9.000000000000000000e+00 1.215438252154401461e-02 0.000000000000000000e+00 4.696560365860475165e-08 1.121602133523659054e-06
1.000000000000000000e+01 9.957974758496062478e-03 0.000000000000000000e+00 4.696560538805191381e-08 1.121603277571677267e-06
1.100000000000000000e+01 8.309545889129840712e-03 0.000000000000000000e+00 4.696560729954620280e-08 1.121604542046933616e-06
1.200000000000000000e+01 7.040659800840312794e-03 0.000000000000000000e+00 4.696560939308764507e-08 1.121605926949768185e-06
1.300000000000000000e+01 6.042999096732426176e-03 0.000000000000000000e+00 4.696561166867625387e-08 1.121607432280553245e-06
1.400000000000000000e+01 5.244327504709683785e-03 0.000000000000000000e+00 4.696561412631204243e-08 1.121609058039692619e-06
1.500000000000000000e+01 4.594965642712391454e-03 0.000000000000000000e+00 4.696561676599504384e-08 1.121610804227623377e-06
1.600000000000000000e+01 4.059833688372017912e-03 0.000000000000000000e+00 4.696561958772525810e-08 1.121612670844813715e-06
1.700000000000000000e+01 3.613587613052479143e-03 0.000000000000000000e+00 4.696562259150276461e-08 1.121614657891764865e-06
1.800000000000000000e+01 3.237546467578530582e-03 0.000000000000000000e+00 4.696562577732754353e-08 1.121616765369010882e-06
1.900000000000000000e+01 2.917694761865207397e-03 0.000000000000000000e+00 4.696562914519964779e-08 1.121618993277117159e-06
2.000000000000000000e+01 2.643350380400083868e-03 0.000000000000000000e+00 4.696563269511910386e-08 1.121621341616682127e-06
2.100000000000000000e+01 2.406256156578931524e-03 0.000000000000000000e+00 4.696563642708593822e-08 1.121623810388336824e-06
2.200000000000000000e+01 2.199947752488867064e-03 0.000000000000000000e+00 4.696564034110019718e-08 1.121626399592742995e-06
2.300000000000000000e+01 2.019305823383624188e-03 0.000000000000000000e+00 4.696564443716191384e-08 1.121629109230597113e-06
2.400000000000000000e+01 1.860233497622116022e-03 0.000000000000000000e+00 4.696564871527110142e-08 1.121631939302625720e-06
2.500000000000000000e+01 1.719420645209805872e-03 0.000000000000000000e+00 4.696565317542783934e-08 1.121634889809589239e-06
2.600000000000000000e+01 1.594169189418765276e-03 0.000000000000000000e+00 4.696565781763216730e-08 1.121637960752279225e-06
2.700000000000000000e+01 1.482262110109718468e-03 0.000000000000000000e+00 4.696566264188409854e-08 1.121641152131521956e-06
2.800000000000000000e+01 1.381864000737768796e-03 0.000000000000000000e+00 4.696566764818369923e-08 1.121644463948172936e-06
2.900000000000000000e+01 1.291444844542228351e-03 0.000000000000000000e+00 4.696567283653099584e-08 1.121647896203121551e-06
3.000000000000000000e+01 1.209720956953337818e-03 0.000000000000000000e+00 4.696567820692605455e-08 1.121651448897289371e-06
3.100000000000000000e+01 1.135608864649741319e-03 0.000000000000000000e+00 4.696568375936892829e-08 1.121655122031630579e-06
3.200000000000000000e+01 1.068188943023584648e-03 0.000000000000000000e+00 4.696568949385964353e-08 1.121658915607131758e-06
3.300000000000000000e+01 1.006676543609251332e-03 0.000000000000000000e+00 4.696569541039829954e-08 1.121662829624810828e-06
3.400000000000000000e+01 9.503988753444855657e-04 0.000000000000000000e+00 4.696570150898491617e-08 1.121666864085719593e-06
3.500000000000000000e+01 8.987763988159570405e-04 0.000000000000000000e+00 4.696570778961954636e-08 1.121671018990940773e-06
3.600000000000000000e+01 8.513077191420857651e-04 0.000000000000000000e+00 4.696571425230225628e-08 1.121675294341589486e-06
3.700000000000000000e+01 8.075572665123995856e-04 0.000000000000000000e+00 4.696572089703313858e-08 1.121679690138815157e-06
3.800000000000000000e+01 7.671451857679126643e-04 0.000000000000000000e+00 4.696572772381221310e-08 1.121684206383797279e-06
3.900000000000000000e+01 7.297389876550206596e-04 0.000000000000000000e+00 4.696573473263956589e-08 1.121688843077747532e-06
4.000000000000000000e+01 6.950466360430053187e-04 0.000000000000000000e+00 4.696574192351525648e-08 1.121693600221912961e-06
4.100000000000000000e+01 6.628107707061959165e-04 0.000000000000000000e+00 4.696574929643931136e-08 1.121698477817569409e-06
4.200000000000000000e+01 6.328038801411752521e-04 0.000000000000000000e+00 4.696575685141188272e-08 1.121703475866027448e-06
4.300000000000000000e+01 6.048242385444607769e-04 0.000000000000000000e+00 4.696576458843297057e-08 1.121708594368628142e-06
4.400000000000000000e+01 5.786924729863789129e-04 0.000000000000000000e+00 4.696577250750268740e-08 1.121713833326747073e-06
4.500000000000000000e+01 5.542486550540822897e-04 0.000000000000000000e+00 4.696578060862107952e-08 1.121719192741789893e-06
