# ells, tt, te, ee, bb
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.894477928118285248e-01 0.000000000000000000e+00 1.083084163373428022e-07 2.844788577340121234e-06
3.000000000000000000e+00 9.889616184959144907e-02 0.000000000000000000e+00 1.083084168538174757e-07 2.844789002755210319e-06
4.000000000000000000e+00 6.181599826695234612e-02 0.000000000000000000e+00 1.083084175768820028e-07 2.844789598336442356e-06
5.000000000000000000e+00 4.284623352901061055e-02 0.000000000000000000e+00 1.083084185065363834e-07 2.844790364083923649e-06
6.000000000000000000e+00 3.176088674658116007e-02 0.000000000000000000e+00 1.083084196427806704e-07 2.844791299997791417e-06
7.000000000000000000e+00 2.467915816722884154e-02 0.000000000000000000e+00 1.083084209856148110e-07 2.844792406078215066e-06
8.000000000000000000e+00 1.985577815920883116e-02 0.000000000000000000e+00 1.083084225350388580e-07 2.844793682325390685e-06
9.000000000000000000e+00 1.640787703576185308e-02 0.000000000000000000e+00 1.083084242910527851e-07 2.844795128739549090e-06
1.000000000000000000e+01 1.384830685635369922e-02 0.000000000000000000e+00 1.083084262536566186e-07 2.844796745320949897e-06
1.100000000000000000e+01 1.188964143917842914e-02 0.000000000000000000e+00 1.083084284228504115e-07 2.844798532069881944e-06
1.200000000000000000e+01 1.035299910323078491e-02 0.000000000000000000e+00 1.083084307986340844e-07 2.844800488986667103e-06
1.300000000000000000e+01 9.122096176723918162e-03 0.000000000000000000e+00 1.083084333810077697e-07 2.844802616071656046e-06
1.400000000000000000e+01 8.118551341515720110e-03 0.000000000000000000e+00 1.083084361699713614e-07 2.844804913325229938e-06
1.500000000000000000e+01 7.287886968063106603e-03 0.000000000000000000e+00 1.083084391655249257e-07 2.844807380747802131e-06
1.600000000000000000e+01 6.591231454344791303e-03 0.000000000000000000e+00 1.083084423676685289e-07 2.844810018339814352e-06
1.700000000000000000e+01 6.000209839953303363e-03 0.000000000000000000e+00 1.083084457764021180e-07 2.844812826101740941e-06
1.800000000000000000e+01 5.493692450977856294e-03 0.000000000000000000e+00 1.083084493917257326e-07 2.844815804034085034e-06
1.900000000000000000e+01 5.055665675724811160e-03 0.000000000000000000e+00 1.083084532136394258e-07 2.844818952137380687e-06
2.000000000000000000e+01 4.673801919562412324e-03 0.000000000000000000e+00 1.083084572421431578e-07 2.844822270412194140e-06
